State ,YEAR ,Insane ,Blind,Idiotic,Deaf,,,
Alabama,1870,555,611,721,401,,,
Arkansas,1870,161,333,289,265,,,
California ,1870,1146,170,87,141,,,
Connecticut,1870,772,252,341,475,,,
Delaware,1870,65,68,69,61,,,
Florida,1870,29,88,100,48,,,
Georgia ,1870,634,740,871,326,,,
Illinois,1870,1625,1042,1244,833,,,
Indiana ,1870,1504,991,1360,872,,,
Iowa ,1870,742,465,533,549,,,
Kansas,1870,131,128,109,121,,,
Kentucky ,1870,1245,978,1141,723,,,
Louisiana,1870,451,447,286,197,,,
Maine,1870,792,324,628,299,,,
Maryland ,1870,733,427,362,384,,,
Massachusetts,1870,2662,761,778,538,,,
Michigan ,1870,814,418,613,455,,,
Minnesota ,1870,302,103,134,166,,,
Mississippi ,1870,245,474,485,245,,,
Missouri ,1870,1263,904,779,790,,,
Nebraska ,1870,28,22,25,55,,,
New Hampshire ,1870,548,206,325,170,,,
New Jersey ,1870,918,317,436,231,,,
New York ,1870,6353,2213,2486,1783,,,
North Carolina ,1870,779,835,976,619,,,
Ohio ,1870,3414,1366,2338,1339,,,
Oregon ,1870,122,35,55,23,,,
Pennsylvania ,1870,3895,1767,2250,1433,,,
Rhode Island ,1870,312,121,123,64,,,
South Carolina ,1870,333,451,465,212,,,
Tennessee ,1870,925,870,1091,570,,,
Texas ,1870,270,404,451,232,,,
Vermont ,1870,721,189,325,148,,,
Virginia ,1870,1125,895,1130,534,,,
Wisconsin ,1870,846,409,560,459,,,
Alabama,1860,257,318,,,,,
Arkansas,1860,87,144,,,,,
California ,1860,456,63,,,,,
Connecticut,1860,281,151,,,,,
Delaware,1860,60,42,,,,,
Florida,1860,25,36,,,,,
Georgia ,1860,491,485,,,,,
Illinois,1860,683,476,,,,,
Indiana ,1860,1035,530,,,,,
Iowa ,1860,201,192,,,,,
Kansas,1860,10,10,,,,,
Kentucky ,1860,623,674,,,,,
Louisiana,1860,169,230,,,,,
Maine,1860,704,233,,,,,
Maryland ,1860,560,298,,,,,
Massachusetts,1860,2015,498,,,,,
Michigan ,1860,251,254,,,,,
Minnesota ,1860,25,23,,,,,
Mississippi ,1860,272,263,,,,,
Missouri ,1860,770,448,,,,,
Nebraska ,1860,0,0,,,,,
New Hampshire ,1860,503,142,,,,,
New Jersey ,1860,589,208,,,,,
New York ,1860,4317,1768,,,,,
North Carolina ,1860,660,581,,,,,
Ohio ,1860,2293,899,,,,,
Oregon ,1860,23,9,,,,,
Pennsylvania ,1860,2766,1187,,,,,
Rhode Island ,1860,288,85,,,,,
South Carolina ,1860,317,291,,,,,
Tennessee ,1860,640,554,,,,,
Texas ,1860,125,149,,,,,
Vermont ,1860,693,165,,,,,
Virginia ,1860,1121,789,,,,,
Wisconsin ,1860,283,220,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
