State ,YEAR ,blind_count_side,blind_count_top,deaf_count_side ,deaf_count_top,idiotic_count_side,idiotic_count_top,insane_count_side,insane_count_top
Maine,1860,72,71,83,81,135,133,121,119
New Hampshire,1860,62,60,58,59,93,91,101,100
Vermont,1860,63,61,57,56,79,79,118,115
Massachusetts,1860,110,108,93,91,128,127,211,210
Rhode Island,1860,48,46,35,35,46,45,80,78
Connecticut,1860,68,67,91,92,81,79,83,82
New York,1860,207,207,195,196,239,236,303,302
New Jersey,1860,75,73,67,67,92,91,112,111
Delaware,1860,31,29,34,35,42,40,36,36
Pennsylvania,1860,174,168,184,184,208,205,247,243
Ohio,1860,146,143,152,150,208,206,224,221
Indiana,1860,114,113,119,119,145,143,146,144
Illinois,1860,109,108,130,127,119,118,123,122
Iowa,1860,66,66,76,76,86,85,63,62
Kansas,1860,21,19,26,26,22,20,10,11
Nebraska,1860,13,12,14,13,7,6,4,4
Michigan,1860,79,79,80,79,87,85,72,70
Wisconsin,1860,87,86,85,85,80,79,78,77
Minnesota,1860,22,22,28,29,25,24,20,21
Missouri,1860,100,99,114,112,113,112,128,126
Kentucky,1860,129,126,121,120,159,157,113,111
Virginia,1860,141,141,135,133,180,178,157,155
Maryland,1860,85,84,79,78,83,82,110,108
North Carolina,1860,119,118,103,102,159,159,120,117
Tennessee,1860,116,116,84,84,144,142,118,115
Arkansas,1860,60,60,56,57,66,65,46,44
Texas,1860,61,62,70,69,72,71,53,51
Louisiana,1860,77,75,67,65,76,74,62,59
Mississippi,1860,81,80,70,69,81,82,79,78
Alabama,1860,96,92,84,84,114,111,77,76
Georgia,1860,107,106,88,87,134,132,102,99
South Carolina,1860,89,88,68,67,93,93,80,78
Florida,1860,30,30,22,23,36,36,20,20
Oregon,1860,16,16,17,17,19,17,18,16
California,1860,40,39,42,40,29,29,92,90
Maine,1870,85,84,89,88,129,127,135,133
New Hampshire,1870,74,73,64,66,86,86,110,107
Vermont,1870,70,68,68,67,90,87,121,121
Massachusetts,1870,135,134,117,115,140,139,245,241
Rhode Island,1870,57,56,43,44,57,56,86,85
Connecticut,1870,81,79,108,106,91,90,127,127
New York,1870,231,230,210,209,249,248,372,371
New Jersey,1870,93,92,74,73,102,100,142,141
Delaware,1870,43,43,40,41,45,45,40,40
Pennsylvania,1870,214,207,194,193,238,237,292,290
Ohio,1870,184,183,183,181,240,237,272,270
Indiana,1870,153,152,145,145,185,184,180,178
Illinois,1870,160,158,143,142,177,176,187,184
Iowa,1870,105,103,116,117,114,113,127,126
Kansas,1870,60,60,56,57,49,49,53,53
Nebraska,1870,29,29,40,41,26,25,29,29
Michigan,1870,101,102,108,108,122,122,134,131
Wisconsin,1870,98,97,105,104,108,107,136,134
Minnesota,1870,51,50,66,65,51,50,82,81
Missouri,1870,147,146,143,141,142,140,170,166
Kentucky,1870,159,157,132,132,170,168,162,160
Virginia,1870,161,158,144,144,198,198,182,180
Maryland,1870,102,101,99,99,95,94,126,125
North Carolina,1870,140,138,125,126,150,149,127,125
Tennessee,1870,147,145,123,123,162,162,144,143
Arkansas,1870,89,87,81,81,86,85,60,59
Texas,1870,98,97,80,81,104,102,72,70
Louisiana,1870,106,104,78,78,86,85,98,96
Mississippi,1870,89,89,78,78,106,105,70,69
Alabama,1870,126,124,100,99,137,134,111,109
Georgia,1870,136,133,96,96,146,146,118,117
South Carolina,1870,107,105,76,75,104,104,87,85
Florida,1870,48,48,35,36,51,50,26,26
Oregon,1870,30,29,29,29,36,36,52,53
California,1870,68,68,62,62,44,46,159,156
