"State","Year","Mentally Ill","Blind","Developmentally Disabled","Deaf-Mutes"
"ALABAMA",1870,555,611,721,401
"ARKANSAS",1870,161,333,289,265
"CALIFORNIA",1870,1146,170,87,141
"CONNECTICUT",1870,772,252,341,475
"DELAWARE",1870,65,68,69,61
"FLORIDA",1870,29,88,100,48
"GEORGIA",1870,634,740,871,326
"ILLINOIS",1870,1625,1042,1244,833
"INDIANA",1870,1504,991,1360,872
"IOWA",1870,742,465,533,549
"KANSAS",1870,131,128,109,121
"KENTUCKY",1870,1245,978,1141,723
"LOUISIANA",1870,451,447,286,197
"MAINE",1870,792,324,628,299
"MARYLAND",1870,733,427,362,384
"MASSACHUSETTS",1870,2662,761,778,538
"MICHIGAN",1870,814,418,613,455
"MINNESOTA",1870,302,103,134,166
"MISSISSIPPI",1870,245,474,485,245
"MISSOURI",1870,1263,904,779,790
"NEBRASKA",1870,28,22,25,55
"NEW HAMPSHIRE",1870,548,206,325,170
"NEW JERSEY",1870,918,317,436,231
"NEW YORK",1870,6353,2213,2486,1783
"NORTH CAROLINA",1870,779,835,976,619
"OHIO",1870,3414,1366,2338,1339
"OREGON",1870,122,35,55,23
"PENNSYLVANIA",1870,3895,1767,2250,1433
"RHODE ISLAND",1870,312,121,123,64
"SOUTH CAROLINA",1870,333,451,465,212
"TENNESSEE",1870,925,870,1091,570
"TEXAS",1870,270,404,451,232
"VERMONT",1870,721,189,325,148
"VIRGINIA",1870,1125,895,1130,534
"WISCONSIN",1870,846,409,560,459
"ALABAMA",1860,257,318,507.5,274
"ARKANSAS",1860,87,144,172,123.5
"CALIFORNIA",1860,456,63,33.5,65
"CONNECTICUT",1860,281,151,256.5,324.5
"DELAWARE",1860,60,42,67.5,46.5
"FLORIDA",1860,25,36,52,20
"GEORGIA",1860,491,485,709,297
"ILLINOIS",1860,683,476,563,640.5
"INDIANA",1860,1035,530,831.5,549
"IOWA",1860,201,192,293,224
"KANSAS",1860,10,10,17.5,26
"KENTUCKY",1860,623,674,1001,563
"LOUISIANA",1860,169,230,225.5,168.5
"MAINE",1860,704,233,720,260.5
"MARYLAND",1860,560,298,273,239
"MASSACHUSETTS",1860,2015,498,652,328
"MICHIGAN",1860,251,254,296.5,245
"MINNESOTA",1860,25,23,24,31.5
"MISSISSIPPI",1860,272,263,266.5,187
"MISSOURI",1860,770,448,507.5,495
"NEBRASKA",1860,0,0,1.5,7.5
"NEW HAMPSHIRE",1860,503,142,339.5,132.5
"NEW JERSEY",1860,589,208,336,174
"NEW YORK",1860,4317,1768,2261.5,1482
"NORTH CAROLINA",1860,660,581,1013.5,407.5
"OHIO",1860,2293,899,1718,884
"OREGON",1860,23,9,13,11
"PENNSYLVANIA",1860,2766,1187,1709.5,1313
"RHODE ISLAND",1860,288,85,83,47.5
"SOUTH CAROLINA",1860,317,291,346.5,177
"TENNESSEE",1860,640,554,820,274
"TEXAS",1860,125,149,205,187
"VERMONT",1860,693,165,250,123.5
"VIRGINIA",1860,1121,789,1284.5,696
"WISCONSIN",1860,283,220,253.5,280
