"Pair_Number","State1","State2","State1_Category","State2_Category","State1_Ratio","State2_Ratio","State1_Count_1870","State2_Count_1870","Smaller_to_Bigger_Ratio","Smaller_Ratio_State","Bigger_Ratio_State"
1,"MINNESOTA","LOUISIANA","Developmentally Disabled","Mentally Ill",0.17910447761194,0.374722838137472,134,451,0.297117516629712,"MINNESOTA","LOUISIANA"
2,"MINNESOTA","WISCONSIN","Developmentally Disabled","Developmentally Disabled",0.17910447761194,0.452678571428571,134,560,0.239285714285714,"MINNESOTA","WISCONSIN"
3,"MINNESOTA","IOWA","Developmentally Disabled","Developmentally Disabled",0.17910447761194,0.549718574108818,134,533,0.25140712945591,"MINNESOTA","IOWA"
4,"MINNESOTA","SOUTH CAROLINA","Developmentally Disabled","Mentally Ill",0.17910447761194,0.951951951951952,134,333,0.402402402402402,"MINNESOTA","SOUTH CAROLINA"
5,"MINNESOTA","TENNESSEE","Developmentally Disabled","Mentally Ill",0.17910447761194,0.691891891891892,134,925,0.144864864864865,"MINNESOTA","TENNESSEE"
6,"MINNESOTA","GEORGIA","Developmentally Disabled","Mentally Ill",0.17910447761194,0.774447949526814,134,634,0.211356466876972,"MINNESOTA","GEORGIA"
7,"MINNESOTA","KENTUCKY","Developmentally Disabled","Developmentally Disabled",0.17910447761194,0.877300613496933,134,1141,0.117440841367222,"MINNESOTA","KENTUCKY"
8,"MINNESOTA","MAINE","Developmentally Disabled","Developmentally Disabled",0.17910447761194,0.872222222222222,134,628,0.213375796178344,"MINNESOTA","MAINE"
9,"MINNESOTA","MISSOURI","Developmentally Disabled","Mentally Ill",0.17910447761194,0.60965954077593,134,1263,0.106096595407759,"MINNESOTA","MISSOURI"
10,"LOUISIANA","WISCONSIN","Mentally Ill","Developmentally Disabled",0.374722838137472,0.452678571428571,451,560,0.805357142857143,"LOUISIANA","WISCONSIN"
11,"LOUISIANA","IOWA","Mentally Ill","Developmentally Disabled",0.374722838137472,0.549718574108818,451,533,0.846153846153846,"LOUISIANA","IOWA"
12,"LOUISIANA","SOUTH CAROLINA","Mentally Ill","Mentally Ill",0.374722838137472,0.951951951951952,451,333,0.738359201773836,"SOUTH CAROLINA","LOUISIANA"
13,"LOUISIANA","TENNESSEE","Mentally Ill","Mentally Ill",0.374722838137472,0.691891891891892,451,925,0.487567567567568,"LOUISIANA","TENNESSEE"
