"State","Category","Ratio_1860_to_1870","Count_1860","Count_1870"
"MINNESOTA","Developmentally Disabled",0.17910447761194,24,134
"LOUISIANA","Mentally Ill",0.374722838137472,169,451
"WISCONSIN","Developmentally Disabled",0.452678571428571,253.5,560
"IOWA","Developmentally Disabled",0.549718574108818,293,533
"SOUTH CAROLINA","Mentally Ill",0.951951951951952,317,333
"TENNESSEE","Mentally Ill",0.691891891891892,640,925
"GEORGIA","Mentally Ill",0.774447949526814,491,634
"KENTUCKY","Developmentally Disabled",0.877300613496933,1001,1141
"MAINE","Developmentally Disabled",0.872222222222222,720,628
"MISSOURI","Mentally Ill",0.60965954077593,770,1263
