Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69b7ffb94bc671a3fbd6dc86,666efed91a31f3c82021f11d,APPROVED,Not Applicable,2026-03-16T13:03:57.195000Z,2026-03-16T13:09:58.822000Z,2026-03-16T13:18:14.394000Z,2026-03-16T13:09:59.208762Z,362.0,C1H0WMUM,2685,English,34,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b8010779c1b9b1e59c3f1c,69b702926fc53d9dd8eeaa52,APPROVED,Not Applicable,2026-03-16T13:09:33.857000Z,2026-03-16T13:18:45.197000Z,2026-03-16T14:04:57.308000Z,2026-03-16T13:18:45.552310Z,552.0,NOCODE,2,English,70,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b8033c33de0409329e8329,656000af0e4ff12b601488e1,APPROVED,Not Applicable,2026-03-16T13:18:56.220000Z,2026-03-16T13:38:52.637000Z,2026-03-16T13:53:58.760000Z,2026-03-16T13:38:53.002320Z,1197.0,C1H0WMUM,2253,"English, Vietnamese",42,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b803891cd1dcee79e4c5b1,696970de24239f0217b3b68c,APPROVED,Not Applicable,2026-03-16T13:20:14.161000Z,2026-03-16T13:24:07.988000Z,2026-03-16T13:24:41.893000Z,2026-03-16T13:24:08.371868Z,234.0,C1H0WMUM,180,English,58,Male,White,United States,United States,United States,English,No,Full-Time
69b803bfa353410c438ed501,6644164405748c36f71dccc0,APPROVED,Not Applicable,2026-03-16T13:21:08.514000Z,2026-03-16T13:26:01.999000Z,2026-03-16T13:28:07.947000Z,2026-03-16T13:26:02.352670Z,294.0,C1H0WMUM,484,English,28,Female,Other,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69b80454238785db87185b25,69b7603c614bdbf78dd9517d,APPROVED,Not Applicable,2026-03-16T13:23:37.439000Z,2026-03-16T13:28:43.061000Z,2026-03-16T13:29:09.639000Z,2026-03-16T13:28:43.413168Z,306.0,C1H0WMUM,11,English,24,Male,White,United States,United States,United States,English,No,Full-Time
69b804614b3e2c260fc33185,6978bda2039ef7c2454998b0,APPROVED,Not Applicable,2026-03-16T13:23:49.421000Z,2026-03-16T13:37:18.859000Z,2026-03-16T13:54:03.468000Z,2026-03-16T13:37:19.274199Z,810.0,C1H0WMUM,1667,English,38,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b804fe2988a9b6d645a33c,650764c3a197814ab15f8237,APPROVED,Not Applicable,2026-03-16T13:26:27.981000Z,2026-03-16T13:39:40.141000Z,2026-03-16T13:53:59.729000Z,2026-03-16T13:39:40.493907Z,793.0,C1H0WMUM,3424,English,23,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69b80511efcfc857ab8559e1,5bcc60b95c2b810001dc68e2,APPROVED,Not Applicable,2026-03-16T13:26:46.886000Z,2026-03-16T13:40:34.492000Z,2026-03-16T13:54:04.726000Z,2026-03-16T13:40:34.857303Z,828.0,C1H0WMUM,15482,"English, Spanish",30,Male,White,United States,United States,United States,English,No,Full-Time
69b805672cae11902c928647,665d92a608fef982937744df,APPROVED,Not Applicable,2026-03-16T13:28:12.072000Z,2026-03-16T13:37:14.391000Z,2026-03-16T13:54:00.753000Z,2026-03-16T13:37:14.843356Z,543.0,C1H0WMUM,6513,English,52,Male,White,United States,United States,United States,English,No,Full-Time
69b805badf0b07ab8e767746,5ed2bb7a67d51b24b2ac4037,APPROVED,Not Applicable,2026-03-16T13:29:38.796000Z,2026-03-16T13:38:55.300000Z,2026-03-16T13:54:05.989000Z,2026-03-16T13:38:55.655044Z,557.0,C1H0WMUM,10501,English,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b806240408c77c66c8caf4,69838c967c78c6ef18426fba,APPROVED,Not Applicable,2026-03-16T13:31:28.161000Z,2026-03-16T13:44:23.163000Z,2026-03-16T13:54:02.104000Z,2026-03-16T13:44:23.528349Z,776.0,C1H0WMUM,865,English,39,Male,White,United States,United States,United States,English,No,Full-Time
69b8064e56f2f07cf775a938,561d98e03d7fe8000b0f5e09,APPROVED,Not Applicable,2026-03-16T13:32:09.102000Z,2026-03-16T13:41:34.272000Z,2026-03-16T13:54:07.177000Z,2026-03-16T13:41:34.663006Z,566.0,C1H0WMUM,11579,English,68,Female,White,United States,United States,United States,English,No,Part-Time
69b8079378ba8ed2718b515b,63225b65b2d6e889f7289909,APPROVED,Not Applicable,2026-03-16T13:37:26.361000Z,2026-03-16T13:50:58.431000Z,2026-03-16T13:54:08.391000Z,2026-03-16T13:50:58.803818Z,813.0,C1H0WMUM,12013,English,51,Male,White,United States,United States,United States,English,No,Full-Time
69b8079624ece3e3f6619cc3,59e7477e3e4b5a00016aa4d2,APPROVED,Not Applicable,2026-03-16T13:37:31.281000Z,2026-03-16T13:54:32.817000Z,2026-03-16T13:54:43.804000Z,2026-03-16T13:54:33.193949Z,1022.0,C1H0WMUM,14722,English,61,Male,White,United States,United States,United States,English,No,Full-Time
69b808133267f81f359a4f59,698a7999e94d553c9b39fa49,APPROVED,Not Applicable,2026-03-16T13:39:51.508000Z,2026-03-16T14:01:58.657000Z,2026-03-16T14:04:58.765000Z,2026-03-16T14:01:59.002393Z,1328.0,C1H0WMUM,130,English,38,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
69b8081aa0fc29b4e73650bb,699ca32b457209957a5ae366,APPROVED,Not Applicable,2026-03-16T13:39:55.180000Z,2026-03-16T14:05:12.358000Z,2026-03-16T14:07:25.614000Z,2026-03-16T14:05:12.715554Z,1518.0,C1H0WMUM,228,English,62,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69b8081f1709bfb88af64917,65e5ec7c5cc8e775d79139b5,APPROVED,Not Applicable,2026-03-16T13:39:50.342000Z,2026-03-16T13:54:08.476000Z,2026-03-16T13:54:09.584000Z,2026-03-16T13:54:08.858503Z,859.0,C1H0WMUM,4996,English,48,Female,White,United States,United States,United States,English,No,Full-Time
69b8085432aea608ab284886,5a792c898fe2dc0001058c3b,APPROVED,Not Applicable,2026-03-16T13:41:56.092000Z,2026-03-16T13:52:29.894000Z,2026-03-16T13:54:10.764000Z,2026-03-16T13:52:30.260817Z,634.0,C1H0WMUM,10202,English,38,Female,White,United States,United States,United States,English,No,Part-Time
69b808a40d55951deab075e0,6776bbc5289ff58ff9bea02b,APPROVED,Not Applicable,2026-03-16T13:42:09.299000Z,2026-03-16T13:47:56.300000Z,2026-03-16T13:54:11.856000Z,2026-03-16T13:47:56.651902Z,348.0,C1H0WMUM,2797,"English, Spanish",46,Male,White,United States,United States,United States,English,No,Full-Time
69b8097a4714d46d86839089,6038743a95e000257b4fefdd,APPROVED,Not Applicable,2026-03-16T13:45:30.624000Z,2026-03-16T13:53:44.175000Z,2026-03-16T13:54:13.131000Z,2026-03-16T13:53:44.548312Z,494.0,C1H0WMUM,5067,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69b809cd3373fb5f0ae35a1e,627ebc31883c7dd7c2220c7e,APPROVED,Not Applicable,2026-03-16T13:47:03.801000Z,2026-03-16T14:07:48.969000Z,2026-03-16T14:08:15.696000Z,2026-03-16T14:07:49.343888Z,1246.0,C1H0WMUM,7361,English,22,Female,White,United States,United States,United States,English,No,Full-Time
69b80a0ec4963c88ee98e2c5,69b4a3d15b20186059c746f8,APPROVED,Not Applicable,2026-03-16T13:48:43.720000Z,2026-03-16T14:15:04.730000Z,2026-03-16T14:18:01.459000Z,2026-03-16T14:15:05.102521Z,1582.0,C1H0WMUM,4,English,31,Female,Black,United States,United States,United States,English,No,Other
69b80a6f9e204cb5c86b3e48,60fb26e75427cb8125f2e4a4,APPROVED,Not Applicable,2026-03-16T13:49:38.494000Z,2026-03-16T13:57:26.650000Z,2026-03-16T14:04:59.959000Z,2026-03-16T13:57:26.995206Z,469.0,C1H0WMUM,9945,English,55,Female,White,United States,United States,Malta,English,No,Full-Time
69b80acdccd21d49bedb50a5,66463e4efb99fba5a67a010a,APPROVED,Not Applicable,2026-03-16T13:51:13.913000Z,2026-03-16T14:19:09.284000Z,2026-03-16T14:25:55.396000Z,2026-03-16T14:19:09.656686Z,1676.0,C1H0WMUM,7721,English,32,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
